strategy_id,username,created_at,factors,cost_bps
080d30d3,Kaveet1979,2026-02-02T04:30:12.414170,Momentum|Value|Profitability,10.0
4b4434eb,Kaveet1979,2026-02-02T18:46:02.594008,Value|Profitability,35.0
19ec74b9,Kaveet1979,2026-02-02T18:46:03.666642,Value|Profitability,35.0
16dd4c9f,Kaveet1979,2026-02-03T00:32:55.722405,Momentum|Value|Profitability,25.0
6da062de,Kaveet1979,2026-02-03T18:42:03.942135,Profitability,0.0
a112bed4,Kaveet1979,2026-02-04T04:10:59.459891,Momentum|Value|Profitability,10.0
518eba49,Kaveet1979,2026-02-05T03:56:18.222001,Momentum|Value|Profitability,10.0
ddb9daf9,Kaveet1979,2026-02-05T04:25:19.628788,Momentum|Value|Profitability,10.0
bd11a3eb,Kaveet1979,2026-02-05T04:25:57.404239,Momentum|Value|Profitability,10.0
d5bace9b,Kaveet1979,2026-02-05T15:53:07.287114,Momentum|Value|Profitability,10.0
01d4544e-19e8-48e5-b31e-6bab40d98bc6,,,,
dd8b0b04-bea9-420e-b54e-1127619bba7b,,,,
27ae6078-5827-48c5-a655-62b54a0bd826,,,,
105fccc4-8026-4aa7-94c8-ce2eb03c0c10,,,,
0efbe709-4027-4dc2-a2cb-ef88c13b27e2,,,,
b4f6c407-0372-4855-90ad-f4d4dbefb6d7,,,,
9e198a9d-0cd1-4d53-92b5-2c1da2c37659,,,,
8b44a73a-7e77-4f69-b1e1-9363baedca71,,,,
c97d6aef-47a6-4e15-b21b-f68df3fccd19,,,,
2d9273d6-0cde-4db7-a30d-f05b23bf4da6,,,,
