date,ticker,book_equity,gross_profit,market_cap
2015-01-31,AAPL,124.60448792654233,55.00212590582958,584.8690193898168
2015-02-28,AAPL,87.4870579523704,37.14272517691165,547.4396512757841
2015-03-31,AAPL,72.35958385194526,77.79335236643668,204.86178987592655
2015-04-30,AAPL,146.9878826707639,22.589594717034565,556.4572454792284
2015-05-31,AAPL,102.77011090862999,79.57788776715802,229.51862589415956
2015-06-30,AAPL,105.38542844013207,78.15815213714593,409.2391376680595
2015-07-31,AAPL,112.93986381352626,61.74492133907703,381.8164259071093
2015-08-31,AAPL,112.75580800840635,55.058858715386016,560.4632041963956
2015-09-30,AAPL,54.544638034145784,36.85779137553382,580.1645936306235
2015-10-31,AAPL,139.02637838909163,47.33940516714278,448.0530391206147
2015-11-30,AAPL,77.73811829811326,31.28726958342568,385.47936197599284
2015-12-31,AAPL,85.33522280260529,55.01936671105233,231.09385478599393
2016-01-31,AAPL,147.43948076661664,79.17264466877617,479.26468560789806
2016-02-29,AAPL,103.60963663441204,38.571656977179664,525.5180078827794
2016-03-31,AAPL,118.47311725538793,29.757016360693477,564.370873797537
2016-04-30,AAPL,132.2537242923169,76.98799479751544,490.287803355344
2016-05-31,AAPL,111.34151959357898,45.09458217743713,573.0913933416053
2016-06-30,AAPL,136.60638895004084,22.713120206371364,210.5467897989008
2016-07-31,AAPL,87.64633668780496,68.63319984690997,594.9104517259777
2016-08-31,AAPL,65.04168911035282,55.64784292112811,352.3563426524086
2016-09-30,AAPL,146.99143978146031,70.52713538814253,535.3314818844551
2016-10-31,AAPL,96.86931597949703,44.889170140259914,309.3628287722825
2016-11-30,AAPL,55.63754966509271,71.88334257530319,525.160403652031
2016-12-31,AAPL,149.97176732861305,79.79821022443433,422.172682241051
2017-01-31,AAPL,126.89874151805105,76.68594379294568,539.8589562709645
2017-02-28,AAPL,74.73481017431976,47.032648118605614,251.663766060598
2017-03-31,AAPL,145.40510272587224,56.3704780670528,291.45712220138506
2017-04-30,AAPL,117.17006844058567,57.08769442747375,343.2650872131362
2017-05-31,AAPL,61.355759219962906,60.29439173556798,408.12308036151734
2017-06-30,AAPL,127.23183917356393,51.209810066719605,540.872600127416
2017-07-31,AAPL,105.19068387744855,53.656278292123176,550.661441063338
2017-08-31,AAPL,90.34828662123971,28.040913707038445,211.5130705253356
2017-09-30,AAPL,125.5137255673619,57.21857308120788,481.63190723968944
2017-10-31,AAPL,71.29641615089108,28.182288535206187,205.81786626715277
2017-11-30,AAPL,85.0587558806597,55.395061211277984,356.8976180398929
2017-12-31,AAPL,93.74749220237291,74.24952166962491,339.3021868093201
