date,ticker,price
2015-01-31,AAPL,103.48357076505617
2015-02-28,AAPL,103.80300229298025
2015-03-31,AAPL,108.20263305619022
2015-04-30,AAPL,117.5244514210791
2015-05-31,AAPL,117.32375858965217
2015-06-30,AAPL,117.12350478484763
2015-07-31,AAPL,127.54288682036474
2015-08-31,AAPL,133.71235772868673
2015-09-30,AAPL,131.9107549541441
2015-10-31,AAPL,136.80833775155443
2015-11-30,AAPL,135.0064509171533
2015-12-31,AAPL,133.2126893705228
2016-01-31,AAPL,136.15643851030364
2016-02-29,AAPL,124.49273169617027
2016-03-31,AAPL,115.00067236708274
2016-04-30,AAPL,112.9175068944367
2016-05-31,AAPL,108.32836371271796
2016-06-30,AAPL,111.11374231690175
2016-07-31,AAPL,107.18018208282042
2016-08-31,AAPL,100.68343551038075
2016-09-30,AAPL,109.06859753081368
2016-10-31,AAPL,108.92802828363371
2016-11-30,AAPL,110.38509427597951
2016-12-31,AAPL,103.62539707600413
2017-01-31,AAPL,101.84105724725222
2017-02-28,AAPL,103.42429151015754
2017-03-31,AAPL,98.50649966137695
2017-04-30,AAPL,101.34199949383812
2017-05-31,AAPL,99.31192319828995
2017-06-30,AAPL,98.85660906642829
2017-07-31,AAPL,96.87104139020025
2017-08-31,AAPL,106.81135763798878
2017-09-30,AAPL,107.80738836943847
2017-10-31,AAPL,103.18400960810544
2017-11-30,AAPL,108.45952380986418
2017-12-31,AAPL,102.92351300185514
2018-01-31,AAPL,105.027596878678
2018-02-28,AAPL,95.78690065816308
2018-03-31,AAPL,90.38362840867511
2018-04-30,AAPL,92.17711633230523
2018-05-31,AAPL,96.50237348821612
2018-06-30,AAPL,98.2942695168697
2018-07-31,AAPL,98.70883404012676
2018-08-31,AAPL,98.20984264468844
2018-09-30,AAPL,91.93167047010049
2018-10-31,AAPL,89.54216314700386
2018-11-30,AAPL,88.37525517941808
2018-12-31,AAPL,93.93018005610882
2019-01-31,AAPL,96.48328824715679
2019-02-28,AAPL,88.94292555456963
2019-03-31,AAPL,91.27360362828085
2019-04-30,AAPL,90.428947293214
2019-05-31,AAPL,88.2725695717819
2019-06-30,AAPL,91.85500715560546
2019-07-31,AAPL,97.50868065297608
2019-08-31,AAPL,103.02416224617419
2019-09-30,AAPL,99.73141975501984
2019-10-31,AAPL,99.18682449009681
2019-11-30,AAPL,101.8215411265284
2019-12-31,AAPL,107.80633195189738
2020-01-31,AAPL,106.30149442401901
2020-02-29,AAPL,106.37771803462931
2020-03-31,AAPL,101.55702571914249
2020-04-30,AAPL,96.49843663197545
2020-05-31,AAPL,101.38379457750273
2020-06-30,AAPL,109.27267054599828
2020-07-31,AAPL,109.97196033688701
2020-08-31,AAPL,116.58970394244304
2020-09-30,AAPL,119.86375283662876
2020-10-31,AAPL,117.1960666241943
2020-11-30,AAPL,120.48573446347899
2020-12-31,AAPL,130.95616507523079
2015-01-31,MSFT,100.82086980445024
2015-02-28,MSFT,109.71651521815389
2015-03-31,MSFT,96.4422151913081
2015-04-30,MSFT,101.3699422528827
2015-05-31,MSFT,102.82483948944083
2015-06-30,MSFT,102.31581874344445
2015-07-31,MSFT,103.80840587986711
2015-08-31,MSFT,94.53017190861097
2015-09-30,MSFT,94.43719256165862
2015-10-31,MSFT,97.0677999213774
2015-11-30,MSFT,105.2112740925894
2015-12-31,MSFT,103.53699333407457
2016-01-31,MSFT,100.38691342874561
2016-02-29,MSFT,98.87229051820387
2016-03-31,MSFT,104.38640862950683
2016-04-30,MSFT,107.1461300993189
2016-05-31,MSFT,105.37950361459883
2016-06-30,MSFT,109.13769201689605
2016-07-31,MSFT,110.75880992119009
2016-08-31,MSFT,117.23069633977926
2016-09-30,MSFT,114.28789465004013
2016-10-31,MSFT,113.55838275198194
2016-11-30,MSFT,112.46760819282404
2016-12-31,MSFT,105.36238298620907
2017-01-31,MSFT,107.97600371817418
2017-02-28,MSFT,110.46514900733317
2017-03-31,MSFT,111.5980434349041
2017-04-30,MSFT,111.40505061426967
2017-05-31,MSFT,104.63512866260822
2017-06-30,MSFT,103.48076607579043
2017-07-31,MSFT,102.74235570077411
2017-08-31,MSFT,99.64838642953119
2017-09-30,MSFT,99.84127724774368
2017-10-31,MSFT,102.85673770109155
2017-11-30,MSFT,113.58565150291788
2017-12-31,MSFT,115.71298474837
2018-01-31,MSFT,118.3602108175357
2018-02-28,MSFT,119.10324121148166
2018-03-31,MSFT,108.86768007932599
2018-04-30,MSFT,109.81203167461584
2018-05-31,MSFT,111.24085207745264
2018-06-30,MSFT,126.05391817152355
2018-07-31,MSFT,126.10206468754303
2018-08-31,MSFT,129.26437245788395
2018-09-30,MSFT,130.33266642607026
2018-10-31,MSFT,124.02014684850391
2018-11-30,MSFT,132.3470009808876
2018-12-31,MSFT,138.6462750814244
2019-01-31,MSFT,145.51641947863487
2019-02-28,MSFT,140.35504335639524
2019-03-31,MSFT,151.60305660653623
2019-04-30,MSFT,142.49284187128004
2019-05-31,MSFT,148.09891704338887
2019-06-30,MSFT,165.80011151452558
2019-07-31,MSFT,159.24656097137802
2019-08-31,MSFT,156.32997828483477
2019-09-30,MSFT,158.67220285469335
2019-10-31,MSFT,156.26454532712404
2019-11-30,MSFT,145.71150497984792
2019-12-31,MSFT,147.66814074189048
2020-01-31,MSFT,141.30140143385242
2020-02-29,MSFT,146.06037915605174
2020-03-31,MSFT,140.80641033473967
2020-04-30,MSFT,153.12650942932856
2020-05-31,MSFT,148.66093239089798
2020-06-30,MSFT,147.75364345048885
2020-07-31,MSFT,155.24118652879733
2020-08-31,MSFT,147.23955654712708
2020-09-30,MSFT,150.38650710776588
2020-10-31,MSFT,161.71920383423148
2020-11-30,MSFT,150.33835042906796
2020-12-31,MSFT,153.22961141961366
2015-01-31,GOOG,102.29941397124212
2015-02-28,GOOG,107.32140919156116
2015-03-31,GOOG,101.75705861387982
2015-04-30,GOOG,96.05634015128352
2015-05-31,GOOG,99.52369338109587
2015-06-30,GOOG,101.99678089279405
2015-07-31,GOOG,104.29422192031898
2015-08-31,GOOG,107.1437914617809
2015-09-30,GOOG,104.57220802851565
2015-10-31,GOOG,106.83229420554643
2015-11-30,GOOG,109.46609738215147
2015-12-31,GOOG,106.65089526143537
2016-01-31,GOOG,117.66673031252749
2016-02-29,GOOG,121.63111614155899
2016-03-31,GOOG,115.60244860156953
2016-04-30,GOOG,120.55343332739858
2016-05-31,GOOG,115.88390657331321
2016-06-30,GOOG,121.60326757331552
2016-07-31,GOOG,129.86375065921357
2016-08-31,GOOG,125.8335439677631
